"","gene.name","gene.annotation","operon.name","operon.comments","probeset","locbegin","locend"
"361","sdaC","putative serine transporter","sdaCB","serine uptake","sdaC_b2796_st",2926251,2927540
"362","sdaB","L-serine deaminase","sdaCB","serine uptake","sdaB_b2797_st",2927598,2928965
"363","fucA","L-fuculose-1-phosphate aldolase (EC 4.1.2.17)","fucAO","fucose metabolism","fucA_b2800_st",2931063,2931710
"364","fucO","L-1,2-propanediol oxidoreductase (EC 1.1.1.77)","fucAO","fucose metabolism","fucO_b2799_st",2929887,2931038
"365","fucP","fucose permease; maybe symport","fucPIK","fucose uptake metabolism","fucP_b2801_st",2932257,2933573
"366","fucI","L-fucose isomerase (EC 5.3.1.-)","fucPIK","fucose uptake metabolism","fucI_b2802_st",2933606,2935381
"367","fucK","L-fuculokinase (EC 2.7.1.51)","fucPIK","fucose uptake metabolism","fucK_b2803_st",2935460,2936908
"368","fucU","","fucPIK","fucose uptake metabolism","fucU_b2804_st",2936910,2937332
"369","fucR","positive regulator of the fuc operon","fucPIK","fucose uptake metabolism","fucR_b2805_st",2937390,2938121
"370","ptr","protease III precursor","ptr-recBD","endopeptidase and exonuclease","ptr_b2821_st",2954026,2956906
"371","recB","exonuclease V subunit","ptr-recBD","endopeptidase and exonuclease","recB_b2820_st",2950484,2954017
"372","recD","exonuclease V alpha-subunit","ptr-recBD","endopeptidase and exonuclease","recD_b2819_st",2948657,2950482
"373","prfB","peptide chain release factor 2","prfBlysS","peptide chain release factor","prfB_b2891_st",3033204,3034302
"374","lysS","(herC) lysyl-tRNA synthetase (EC 6.1.1.6)","prfBlysS","peptide chain release factor","lysS_b2890_st",3031677,3033194
"375","gcvT","aminomethyltransferase","gcv","glycine cleavage system","gcvT_b2905_st",3047593,3048687
"376","gcvH","shuttles the methylamine group of glycine from the P protein to the T protein","gcv","glycine cleavage system","gcvH_b2904_st",3047180,3047569
"377","gcvP","glycine dehydrogenase","gcv","glycine cleavage system","gcvP_b2903_st",3044188,3047061
"378","Regulation","terminator","gcv","glycine cleavage system",NA,NA,NA
"379","Comment","leucine-responsive genes","serA","L-serine biosynthesis",NA,NA,NA
"380","rpiA","ribose-5-phosphate isomerase","serA","L-serine biosynthesis","rpiA_b2914_st",3056686,3057345
"381","serA","D-3-phosphoglycerate dehydrogenase","serA","L-serine biosynthesis","serA_b2913_st",3055198,3056430
"382","glcD","glycolate oxidase","glc","glycolate utilization","glcD_b2979_st",3124538,3126036
"383","2912","(glcE) glycolate oxidase subunit","glc","glycolate utilization",NA,NA,NA
"384","glcG","","glc","glycolate utilization","glcG_b2977_st",3121843,3122247
"385","glcB","","glc","glycolate utilization","glcB_b2976_st",3119650,3121821
"386","hybA","putative hydrogenase-2 small subunit","hyb","hydrogenase-2","hybA_b2996_st",3142180,3143155
"387","hybB","probable Ni/Fe-hydrogenase 2 b-type cytochrome subunit","hyb","hydrogenase-2","hybB_b2995_st",3141005,3142168
"388","hybC","hydrogenase-2 large subunit","hyb","hydrogenase-2","hybC_b2994_st",3139302,3141000
"389","hybD","HybD protein","hyb","hydrogenase-2","hybD_b2993_st",3138815,3139300
"390","hybE","HybE protein","hyb","hydrogenase-2","hybE_b2992_st",3138334,3138806
"391","hybF","HybF protein","hyb","hydrogenase-2","hybF_b2991_st",3137992,3138325
"392","hybG","HybG protein","hyb","hydrogenase-2","hybG_b2990_st",3137731,3137979
"393","ttdA","tartrate dehydratse","ttdAB","an oxygen-labile stereospecific L-tartrate dehydratase","ttdA_b3061_st",3204104,3205011
"394","ttdB","tartrate dehydratse","ttdAB","an oxygen-labile stereospecific L-tartrate dehydratase","ttdB_b3062_st",3205016,3205617
"395","Regulation","promoter","rpsU-dnaG-rpoD","ribosomal protein",NA,NA,NA
"396","Regulation","LexA binding site","rpsU-dnaG-rpoD","ribosomal protein",NA,NA,NA
"397","rpsU","ribosomal protein S21","rpsU-dnaG-rpoD","ribosomal protein","rpsU_b3065_st",3208422,3208637
"398","dnaG","DNA primase","rpsU-dnaG-rpoD","ribosomal protein","dnaG_b3066_st",3208748,3210493
"399","rpoD","RNA polymerase sigma-subunit","rpsU-dnaG-rpoD","ribosomal protein","rpoD_b3067_st",3210688,3212529
"400","Regulation","terminator","rpsU-dnaG-rpoD","ribosomal protein",NA,NA,NA
"401","ebgA","beta-D-galactosidase, alpha subunit; cryptic gene (EC 3.2.1.23); very poor lactase","ebgAC","beta galactoside utilization","ebgA_b3076_st",3220238,3223362
"402","ebgC","beta-D-galactosidase, beta subunit; cryptic gene (EC 3.2.1.23)","ebgAC","beta galactoside utilization","ebgC_b3077_st",3223367,3223812
"403","ygjI","(ebgB) possible homolog of lacY","ebgAC","beta galactoside utilization","ygjI_b3078_st",3223875,3225308
"404","uxaC","uronate isomerase (EC 5.3.1.12)","uxaCA","pentose and glucuronate interconversion","uxaC_b3092_st",3240969,3242381
"405","uxaA","altronate hydrolase (EC 4.2.1.7)","uxaCA","pentose and glucuronate interconversion","uxaA_b3091_st",3239467,3240954
"406","tdcA","tdcABC operon transcriptional activator","tdc","threonine dehydratase","tdcA_b3118_st",3263768,3264706
"407","tdcB","catabolic threonine dehydratase","tdc","threonine dehydratase","tdcB_b3117_st",3262680,3263669
"408","tdcC","threonine-serine permease","tdc","threonine dehydratase","tdcC_b3116_st",3261327,3262658
"409","agaZ","putative tagatose 6-phosphate kinase (EC 2.7.1.-)","aga","N-acetylgalactosamine uptake","agaZ_b3132_st",3276555,3277821
"410","agaV","N-acetylgalactosamine-specific IIB component 2","aga","N-acetylgalactosamine uptake","agaV_b3133_st",3277836,3278331
"411","agaW","N-acetylgalactosamine-specific IIC component 2","aga","N-acetylgalactosamine uptake","agaW_b3134_st",3278342,3278743
"412","agaA","putative N-acetylgalactosamine-6-phosphate deacetylase (EC 3.5.1.-)","aga","N-acetylgalactosamine uptake","agaA_b3135_st",3278763,3279266
"413","agaS","may be a tagatose-6-phsophate ketose/aldose isomerase","aga","N-acetylgalactosamine uptake","agaS_b3136_st",3279617,3280771
"414","agaY","tagatose-bisphosphate aldolase","aga","N-acetylgalactosamine uptake","agaY_b3137_st",3280784,3281644
"415","agaB","N-acetylgalactosamine-specific IIB component 1","aga","N-acetylgalactosamine uptake","agaB_b3138_st",3281811,3282287
"416","agaC","N-acetylgalactosamine-specific IIC component 1","aga","N-acetylgalactosamine uptake","agaC_b3139_st",3282326,3283118
"417","agaD","N-acetylgalactosamine-specific IID component","aga","N-acetylgalactosamine uptake","agaD_b3140_st",3283130,3283910
"418","agaI","putative galactosamine-6-phosphate isomerase (EC 5.3.1.-)","aga","N-acetylgalactosamine uptake","agaI_b3141_st",3283911,3284666
"419","rpsO","ribosomal protein S15","rpsO-pnp","ribosomal protein","rpsO_b3165_st",3309056,3309325
"420","pnp","polynucleotide phosphorilase","rpsO-pnp","ribosomal protein","pnp_b3164_st",3306674,3308878
"421","Regulation","terminator","rpsO-pnp","ribosomal protein",NA,NA,NA
"422","rbfA","ribosome-binding factor A; P15B","rbfAtruB","RNA modification","rbfA_b3167_st",3310419,3310819
"423","truB","tRNA pseudouridine 55 synthase; P35","rbfAtruB","RNA modification","truB_b3166_st",3309474,3310417
"424","yhbC","hypothetical 16.8 kD protein","nusA","transcription & translation","yhbC_b3170_st",3315195,3315653
"425","nusA","NusA protein","nusA","transcription & translation","nusA_b3169_st",3313680,3315167
"426","infB","initiation factor IF2-alpha (infB)","nusA","transcription & translation","infB_b3168_st",3310983,3313655
"427","rplU","ribosomal protein L21","rplUrpmA","ribosomal protein","rplU_b3186_st",3330781,3331092
"428","rpmA","ribosomal protein L27","rplUrpmA","ribosomal protein","rpmA_b3185_st",3330503,3330760
"429","yhbN","17.3 kD protein","rpoN","organic nitrogen uptake and assimilation","yhbN_b3200_st",3341053,3341578
"430","yhbG","probable ABC transporter in ntrA/rpoN 5region	rpoN	organic nitrogen uptake and assimilation
rpoN	sigma-N (sigma-54)	rpoN	organic nitrogen uptake and assimilation
yhbH	probable sigma-54 modulation protein	rpoN	organic nitrogen uptake and assimilation
ptsN	enzyme IIA-Ntr; affects growth on organic nitrogen	rpoN	organic nitrogen uptake and assimilation
3135	o284	rpoN	organic nitrogen uptake and assimilation
ptsO	(npr) NPr	rpoN	organic nitrogen uptake and assimilation
gltB	glutamate synthase, large subunit (EC 1.4.1.13)	gltBDF	induction of the Ntr enzymes
gltD	glutamate synthase, small subunit (EC 1.4.1.13)	gltBDF	induction of the Ntr enzymes
gltF	gltF protein	gltBDF	induction of the Ntr enzymes
sspA	stringent starvation protein A	sspAB	stringent starvation
sspB	stringent starvation protein B	sspAB	stringent starvation
rplM	50S ribosomal protein L13	rplMrpsI	ribosomal protein
rpsI	30S ribosomal protein S9	rplMrpsI	ribosomal protein
accB	(fabE) biotin carboxyl carrier protein	accBC	acetylCoA carboxylase
accC	(fabG) biotin carboxylase	accBC	acetylCoA carboxylase
panF	pantothenate permease	prmA	ribosomal protein
prmA	ribosomal protein L11 methyltransferase	prmA	ribosomal protein
yhdG	hypothetical 35.9 kD protein	fis	DNA inversion
fis	binding to a recombinational enhancer sequence that is required to stimulate hin-mediated dna inversion	fis	DNA inversion
yhdJ	hypothetical adenine-specific methylase	fis	DNA inversion
acrE	acriflavine resistance protein	acrEF	(envCD) acriflavine resistance
acrF	acriflavine resistance protein	acrEF	(envCD) acriflavine resistance
def	N-formylmethionylaminoacyl-tRNA deformylase	def-fmt	tRNA modification
fmt	methionyl-tRNA formyltransferase	def-fmt	tRNA modification
fmu	Sun protein (Fmu protein); nucleolar protein family	def-fmt	tRNA modification
rpsM	30S ribosomal protein S13	alpha	ribosomal protein
rpsK	30S ribosomal protein Sll	alpha	ribosomal protein
rpsD	30S ribosomal protein S4	alpha	ribosomal protein
rpoA	RNA polymerase (EC 2.7.7.6), alpha subunit	alpha	ribosomal protein
rplQ	50S ribosomal protein L17	alpha	ribosomal protein
rplN	50S ribosomal protein L14	spc	ribosomal protein
rplX	50S ribosomal protein L24	spc	ribosomal protein
rplE	50S ribosomal protein L5	spc	ribosomal protein
rpsN	30S ribosomal protein S14	spc	ribosomal protein
rpsH	30S ribosomal protein S8	spc	ribosomal protein
rplF	50S ribosomal protein L6	spc	ribosomal protein
rplR	50S ribosomal protein L18	spc	ribosomal protein
rpsE	30S ribosomal protein S5	spc	ribosomal protein
rpmD	50S ribosomal protein L30	spc	ribosomal protein
rplO	50S ribosomal protein L15	spc	ribosomal protein
prlA	(secY) membrane protein, protein secretion (with secL)	spc	ribosomal protein
rpmJ	50S ribosomal protein X	spc	ribosomal protein
rpsJ	30S ribosomal protein S10	S10	ribosomal protein
rplC	50S ribosomal protein L3	S10	ribosomal protein
rplD	50S ribosomal protein L4	S10	ribosomal protein
rplW	50S ribosomal protein L23	S10	ribosomal protein
rplB	50S ribosomal protein L2	S10	ribosomal protein
rpsS	50S ribosomal protein S19	S10	ribosomal protein
rplV	50S ribosomal protein L22	S10	ribosomal protein
rpsC	30S ribosomal protein S3	S10	ribosomal protein
rplP	50S ribosomal protein L16	S10	ribosomal protein
rpmC	50S ribosomal protein L29	S10	ribosomal protein
rpsQ	30S ribosomal protein S17	S10	ribosomal protein
rpsL	30S ribosomal protein S12	str	ribosomal protein
rpsG	30S ribosomal protein S7	str	ribosomal protein
fusA	protein chain elongation factor EF-G	str	ribosomal protein
tufA	protein chain elongation factor EF-Tu	str	ribosomal protein
Regulation	poor promoter	fic-pabA	para-aminobenzoate synthetase
yhfG	hypothetical 6.6 kD protein	fic-pabA	para-aminobenzoate synthetase
fic	cell filamentation protein fic	fic-pabA	para-aminobenzoate synthetase
pabA	para-aminobenzoate synthetase; CoII	fic-pabA	para-aminobenzoate synthetase
nirB	NADH-nitrate oxidoreductase apoprotein	nirBDC	NADH-dependent nitrite reductase
nirD	nitrite reductase (NAD(P)H) small subunit	nirBDC	NADH-dependent nitrite reductase
nirC	potential nitrite transporter	nirBDC	NADH-dependent nitrite reductase
aroK	shikimic acid kinase I	dam	dam superoperon; cell cycle regulation, aromatic amino acid biosynthesis and carbohydrate metabolism
aroB	3-dehydroquinate synthase	dam	dam superoperon; cell cycle regulation, aromatic amino acid biosynthesis and carbohydrate metabolism
damX		dam	dam superoperon; cell cycle regulation, aromatic amino acid biosynthesis and carbohydrate metabolism
dam	adenine methylase	dam	dam superoperon; cell cycle regulation, aromatic amino acid biosynthesis and carbohydrate metabolism
rpe	24k; d-ribulose-5-phosphate epimerase	dam	dam superoperon; cell cycle regulation, aromatic amino acid biosynthesis and carbohydrate metabolism
gph	27k; 2-phosphoglycolate phosphatase	dam	dam superoperon; cell cycle regulation, aromatic amino acid biosynthesis and carbohydrate metabolism
trpS	tryptophanyl-tRNA synthetase	dam	dam superoperon; cell cycle regulation, aromatic amino acid biosynthesis and carbohydrate metabolism
ompR	OmpR protein; regulator	ompB	two-component system
envZ	EnvZ protein; sensor	ompB	two-component system
feoA	ferrous iron transport protein a	feoAB	ferrous iron transpor
feoB	ferrous iron transport protein b	feoAB	ferrous iron transpor
malP	maltodextrin phosphorylase	malPQ	Glycogen Debranching Enzyme System
malQ	4-alpha-glucanotransferase	malPQ	Glycogen Debranching Enzyme System
glgB	1,4-alpha-glucan branching enzyme	glgBXCAP	glycogen synthesis
glgX	glycogen operon protein GlgX	glgBXCAP	glycogen synthesis
glgC	glucose-1-phosphate adenylyltransferase	glgBXCAP	glycogen synthesis
glgA	glycogen synthase	glgBXCAP	glycogen synthesis
glgP	alpha-glucan phosphorylase	glgBXCAP	glycogen synthesis
gntK	thermoresistant gluconokinase (EC 2.7.1.12)	gntKU	gluconate uptake and catabolism
gntU_1	low-affinity gluconate transporter (gluconate permease)	gntKU	gluconate uptake and catabolism
gntU_2		gntKU	gluconate uptake and catabolism
ugpB	sn-glycerol 3-phosphate transport system; periplasmic binding protein	ugpBAECQ	sn-glycerol 3-phosphate transport system
ugpA	sn-glycerol 3-phosphate transport system	ugpBAECQ	sn-glycerol 3-phosphate transport system
ugpE	sn-glycerol 3-phosphate transport system membrane protein	ugpBAECQ	sn-glycerol 3-phosphate transport system
ugpC	sn-glycerol 3-phosphate transport system	ugpBAECQ	sn-glycerol 3-phosphate transport system
ugpQ	glycerophosphodiester phosphodiesterase, cytosolic (EC 3,1,4,46)	ugpBAECQ	sn-glycerol 3-phosphate transport system
livK	leucine-specific binding protein precursor	livKHMGF	high affinity, branched-chain amino acid transport system
livH	high-affinity branched-chain amino acid transport permease	livKHMGF	high affinity, branched-chain amino acid transport system
livM	high-affinity branched-chain amino acid transport permease	livKHMGF	high affinity, branched-chain amino acid transport system
livG	high-affinity branched-chain amino acid transport ATP-binding protein	livKHMGF	high affinity, branched-chain amino acid transport system
livF	high-affinity branched-chain amino acid transport ATP-binding protein	livKHMGF	high affinity, branched-chain amino acid transport system
ftsY	cell division protein	ftsYEX	cell division
ftsE	cell division protein	ftsYEX	cell division
ftsX	cell division protein	ftsYEX	cell division
nikA	transport of Ni essential for hydrogenases; nickel-binding protein	nikABCDE	nickel transport
nikB	nickel transport system permease protein NikB	nikABCDE	nickel transport
nikC	nickel transport system permease protein NikC	nikABCDE	nickel transport
nikD	nickel transport ATP-binding protein NikD	nikABCDE	nickel transport
nikE	nickel transport ATP-binding protein NikE	nikABCDE	nickel transport
Regulation	promoter	arsBC	arsenical resistance
arsR	arsenical resistance operon arsEFG repressor	arsBC	arsenical resistance
arsB	arsenical pump membrane protein	arsBC	arsenical resistance
arsC	arsenate reductase (arsenical pump modifier)	arsBC	arsenical resistance
dppA	dipeptide-binding protein	dpp	dipeptide transporter
dppB	transmembrane protein	dpp	dipeptide transporter
dppC	transmembrane protein	dpp	dipeptide transporter
dppD	peripheral membrane protein	dpp	dipeptide transporter
dppF	peripheral membrane protein	dpp	dipeptide transporter
glyQ	glycine tRNA synthetase, alpha chain	glyQS	glycine tRNA synthetase
glyS	glycine tRNA synthetase, beta chain (EC 6 1 1 14)	glyQS	glycine tRNA synthetase
xylF	D-xylose-binding periplasmic protein precursor	xylFGH	xylose transport
xylG	D-xylose transport ATP-binding protein XylG	xylFGH	xylose transport
xylH	xylose transport permease protein XylH	xylFGH	xylose transport
xylR	xylose operon regulatory protein	xylFGH	xylose transport
Regulation	terminator	xylFGH	xylose transport
Regulation	promoter	mtlAD	mannitol uptake
mtlA	mannitol-specific enzyme II of the phosphotransferase system	mtlAD	mannitol uptake
mtlD	mannitol-phosphate dehydrogenase	mtlAD	mannitol uptake
lldP	(lctP) L-lactate permease	lct	L-lactate dehydrogenase
lctR	(lldR) putative l-lactate dehydrogenase operon regulatory protein	lct	L-lactate dehydrogenase
lctD	(lldD) L-lactate dehydrogenase	lct	L-lactate dehydrogenase
kbl	2-amino-3-ketobutyrate CoA ligase; glycine acetyltransferase	tdh	L-threonine metabolism
tdh	threonine 3-dehydrogenase	tdh	L-threonine metabolism
rfaQ	lipopolysaccharide core biosynthesis	rfa	Lipopolysaccharide core biosynthesis
rfaG	lipopolysaccharide core biosynthesis; glucosyltransferase 1	rfa	Lipopolysaccharide core biosynthesis
rfaP	lipopolysaccharide core biosynthesis; phosphorylation of core heptose	rfa	Lipopolysaccharide core biosynthesis
rfaS		rfa	Lipopolysaccharide core biosynthesis
rfaB	UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyl-transferase	rfa	Lipopolysaccharide core biosynthesis
rfaI	UDP-D-galactose:(glucosyl)lipopolysaccharide-o-1,3-D-galactosyl-transferase	rfa	Lipopolysaccharide core biosynthesis
rfaJ	UDP-D-glucose:(galactosyl)lipopolysaccharide glucosyltransferase	rfa	Lipopolysaccharide core biosynthesis
kdtA	KDO transferase	kdtAB	lipopolysaccharid biosynthesis
kdtB	lipopolysaccharide core biosynthesis protein kdtB	kdtAB	lipopolysaccharid biosynthesis
dfp	flavoprotein affecting synthesis of DNA and pantothenate metabolism	dfp-dut	DNA & pantothenate metabolism
dut	deoxyuridine 5-triphosphate nucleotidohydrolase","dfp-dut","DNA & pantothenate metabolism","yhbG_b3201_st",3341585,3342310
"431","ttk","23 kD protein","dfp-dut","DNA & pantothenate metabolism","ttk_b3641_st",3812079,3812717
"432","rph","ribonuclease PH (EC 2.7.7.56); removes nuc following the -CCA terminus of tRNA and adds nuc to the ends of RNA by using nucleoside diphosphates as substrate","rph-pyrE","ribonuclease & pyrimidine biosynthesis","rph_b3643_st",3813490,3814176
"433","pyrE","orotate phosphoribosyltransferase","rph-pyrE","ribonuclease & pyrimidine biosynthesis","pyrE_b3642_st",3812754,3813395
"434","Regulation","terminator","rph-pyrE","ribonuclease & pyrimidine biosynthesis",NA,NA,NA
"435","Regulation","promoter","spoT","DNA/RNA processing",NA,NA,NA
"436","gmk","GMP kinase","spoT","DNA/RNA processing","gmk_b3648_st",3819055,3819678
"437","rpoZ","DNA-directed RNA polymerase omega protein","spoT","DNA/RNA processing","rpoZ_b3649_st",3819733,3820008
"438","spoT","(p)ppGpp 3-pyrophosphohydrolase	spoT	DNA/RNA processing
Regulation	promoter	spoT	DNA/RNA processing
spoU	putative rRNA methylases	spoT	DNA/RNA processing
recG	DNA recombinase	spoT	DNA/RNA processing
uhpA	response regulator positive activator of uhpT transcription	uhp	hexose phosphate transport
uhpB	sensor protein UhpB; membrane associated protein kinase	uhp	hexose phosphate transport
uhpC	regulatory protein; may act jointly with the UhpB	uhp	hexose phosphate transport
uhpT	hexose phosphate transport protein	uhp	hexose phosphate transport
ilvB	acetolactate synthase I (EC 4.1.3.18), valine sensitive, large subunit	ilvBN	acetolactate synthase I
ilvN	acetolactate synthase I (EC 4.1.3.18), valine sensitive, small subunit	ilvBN	acetolactate synthase I
glvC	PTSIIC	glvCBG	glucoside uptake
glvB	PTSIIB	glvCBG	glucoside uptake
glvG	6-phospho-beta-glucosidase	glvCBG	glucoside uptake
Regulation	promoter	dnaA	replication
dnaA	DnaA protein	dnaA	replication
dnaN	DNA polymerase III beta-subunit	dnaA	replication
recF	recF protein	dnaA	replication
rpmH	ribosomal protein L34	rpmH	ribosomal protein
rnpA	ribonuclease P protein component	rpmH	ribosomal protein
tnaA	tryptophanase	tnaAB	tryptophan transport
tnaB	low affinity tryptophan permease	tnaAB	tryptophan transport
bglG	(bglC) positive regulation of bgl operon	bglGFB	beta-glucoside transport
bglF	beta-glucoside transport, PEP-dependent enzymeII (EC 2.7.1.69)	bglGFB	beta-glucoside transport
bglB	phospho-beta-glucosidase B (EC 3.2.1.86)	bglGFB	beta-glucoside transport
glmU	UDP-N-acetylglucosamine pyrophosphorylase	glmUS	amino sugar biosynthesis
glmS	glucosaminephosphate isomerase	glmUS	amino sugar biosynthesis
atpI	membrane-bound ATP synthase (EC 3.6.1.34), subunit?	atp	(unc) membrane-bound ATP synthase
atpB	membrane-bound ATP synthase (EC 3.6.1.34), F0 sector, subunit a	atp	(unc) membrane-bound ATP synthase
atpE	membrane-bound ATP synthase (EC 3.6.1.34), F0 sector, subunit c; DCCD-binding protein	atp	(unc) membrane-bound ATP synthase
atpF	membrane-bound ATP synthase (EC 3.6.1.34), F0 sector, subunit b	atp	(unc) membrane-bound ATP synthase
atpH	membrane-bound ATP synthase (EC 3.6.1.34), Fl sector, delta subunit	atp	(unc) membrane-bound ATP synthase
atpA	membrane-bound ATP synthase (EC 3.6.1.34), Fl sector, alpha subunit	atp	(unc) membrane-bound ATP synthase
atpG	membrane-bound ATP synthase (EC 3.6.1.34), Fl sector, gamma subunit	atp	(unc) membrane-bound ATP synthase
atpD	membrane-bound ATP synthase (EC 3.6.1.34), Fl sector, beta subunit	atp	(unc) membrane-bound ATP synthase
atpC	membrane-bound ATP synthase (EC 3.6.1.34), Fl sector, epciron subunit	atp	(unc) membrane-bound ATP synthase
rbsD	D-ribose high-affinity transport system; membrane-associated protein	rbs	ribose transport
rbsA	D-ribose high-affinity transport system; membrane-associated protein	rbs	ribose transport
rbsC	D-ribose high-affinity transport system; membrane-associated protein	rbs	ribose transport
rbsB	D-ribose peroplasmic binding protein	rbs	ribose transport
rbsK	ribokinase	rbs	ribose transport
ilvG_1	acetolactate synthase 11 (EC 4.1.3.18), valine insensitive, large subunit, silent in K-12	ilvGMEDA	valine and isoleucine biosynthesis
ilvM	acetolactate synthase 11 (EC 4.1.3.18), valine insensitive, small subunit, silent in K-12	ilvGMEDA	valine and isoleucine biosynthesis
ilvE	branched-chain amino acid aminotransferase (EC 2.6.1.42)	ilvGMEDA	valine and isoleucine biosynthesis
ilvD	dihydroxyacid dehydratase (EC 4.2.1.9)	ilvGMEDA	valine and isoleucine biosynthesis
ilvA	threonine deaminase (EC 4.2.1.16)	ilvGMEDA	valine and isoleucine biosynthesis
hemC	porphobilinogen deaminase	hem	porphyrin biosynthesis
hemD	uroporphyrinogen-III cosynthetase	hem	porphyrin biosynthesis
hemX	putative urogenIII methylase	hem	porphyrin biosynthesis
hemY		hem	porphyrin biosynthesis
fadB	fatty oxidation complex alpha subunit	fadBA	multifunctional enzyme complex of the fatty acid degradation cycle
fadA	fatty oxidation complex beta subunit	fadBA	multifunctional enzyme complex of the fatty acid degradation cycle
glnA	glutamine synthetase A	glnALG	glutamine synthetase
glnL	glutamine synthetase L; NR(II)	glnALG	glutamine synthetase
glnG	glutamine synthetase; NR(I)	glnALG	glutamine synthetase
Comment	putative	frv	fructose-specific enzymes
frvA	PTS system, fructose-like-1 IIA component	frv	fructose-specific enzymes
frvB	PTS system, fructose-like-1 IIBC component	frv	fructose-specific enzymes
frvX		frv	fructose-specific enzymes
rhaB	rhamnulokinase (EC 2.7.1.5)	rhaBAD	L-rhamnose uptake
rhaA	L-rhamnose isomerase (EC 5.3.1.14)	rhaBAD	L-rhamnose uptake
rhaD	D-ribose high-affinity transport system; membrane-associated protein	rhaBAD	L-rhamnose uptake
cpxR	regulator	cpxAR	two-component system
cpxA	kinase	cpxAR	two-component system
glpF	glycerol diffusion facilitator	glpFK	glycerol uptake
glpK	glycerol kinase	glpFK	glycerol uptake
metB	cystathione gamma-synthase	metBL	methionine biosynthesis
metL	aspartokinase II-homoserine dehydrogenase II	metBL	methionine biosynthesis
Regulation	terminator	metBL	methionine biosynthesis
argC	N-acetyl-gamma-glutamylphosphate reductase (EC 1,2,1,38)	argECBH	arginine biosynthesis
argB	acetylglutamate kinase (EC 2,7,2,8)	argECBH	arginine biosynthesis
argH	argininosuccinate lyase (EC 4,3,2,1)	argECBH	arginine biosynthesis
secE	preprotein translocase secE subunit	secE-nusG	protein export & transcription
nusG	transcription antitermination	secE-nusG	protein export & transcription
rplK	5OS ribosomal protein Lll	L11	ribosomal protein
rplA	50S ribosomal protein Ll, regulates synthesis of Ll and Lll	L11	ribosomal protein
rplJ	50S ribosomal protein L10	beta	ribosomal protein
rplL	50S ribosomal protein L7/L12	beta	ribosomal protein
rpoB	DNA-directed RNA polymerase beta chain	beta	ribosomal protein
rpoC	DNA-directed RNA polymerase beta chain","beta","ribosomal protein","spoT_b3650_st",3820027,3822135
"439","thiC","thiamin biosynthesis, pyrimidine moiety","thiCEFGH","thiamin biosynthesis","thiC_b3994_st",4191783,4193677
"440","thiE","thiamin biosynthesis, thiazole moiety","thiCEFGH","thiamin biosynthesis","thiE_b3993_st",4191147,4191781
"441","thiF","thiamin biosynthesis, thiazole moiety","thiCEFGH","thiamin biosynthesis","thiF_b3992_st",4190399,4191136
"442","thiG","thiamin biosynthesis, thiazole moiety","thiCEFGH","thiamin biosynthesis","thiG_b3991_st",4189447,4190288
"443","thiH","thlamin biosynthesis, thiazole moiety","thiCEFGH","thiamin biosynthesis","thiH_b3990_st",4188313,4189442
"444","hydH","kinase","hydHG","two-component system","hydH_b4003_st",4199504,4200897
"445","hydG","regurator; involved in the regulation of the labile hydrogenase activity","hydHG","two-component system","hydG_b4004_st",4200902,4202223
"446","purH","phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 7.1.1.3)","purHD","purine nucleotide biosynthesis","purH_b4006_st",4203521,4205110
"447","purD","phosphoribosylglycinamide synthetase (EC 6.3.4.13)","purHD","purine nucleotide biosynthesis","purD_b4005_st",4202220,4203509
"448","aceB","malate synthase A (EC 4.1.3.2)","ace","malate synthase","aceB_b4014_st",4213057,4214658
"449","aceA","isocitrate lyase (EC 4.1.3.1)","ace","malate synthase","aceA_b4015_st",4214688,4215992
"450","aceK","isocitrate dehydrogenase kinase/phosphatase (EC 2.7.1.116)","ace","malate synthase","aceK_b4016_st",4216175,4217911
"451","Regulation","promoter","malEFG","maltodextrins and maltose transport",NA,NA,NA
"452","malE","periplasmic maltose-binding protein","malEFG","maltodextrins and maltose transport","malE_b4034_st",4242808,4243998
"453","malF","cytoplasmic maltose-binding protein","malEFG","maltodextrins and maltose transport","malF_b4033_st",4241110,4242654
"454","malG","transport of maltose and maltodextrins","malEFG","maltodextrins and maltose transport","malG_b4032_st",4240205,4241095
"455","Regulation","terminator","malEFG","maltodextrins and maltose transport",NA,NA,NA
"456","Regulation","promoter","malK-lamB","maltose, malto dextrins uptake",NA,NA,NA
"457","malK","transport of maltose","malK-lamB","maltose, malto dextrins uptake","malK_b4035_st",4244363,4245478
"458","lamB","maltose porin; phage; lambda receptor protein","malK-lamB","maltose, malto dextrins uptake","lamB_b4036_st",4245550,4246890
"459","malM","periplasmic protein of mal operon","malK-lamB","maltose, malto dextrins uptake","malM_b4037_st",4247133,4248053
"460","ubiC","chorismate lyase","ubiCA","ubiquinone biosynthesis","ubiC_b4039_st",4249974,4250582
"461","ubiA","4-hydroxybenzoate-octaprenyl transferase","ubiCA","ubiquinone biosynthesis","ubiA_b4040_st",4250595,4251467
"462","nrfA","cytochrome c family heme-binding; cytochrome C552 precursor","nrf","nitrite reduction","nrfA_b4070_st",4285343,4286779
"463","nrfB","cytochrome c family heme-binding","nrf","nitrite reduction","nrfB_b4071_st",4286818,4287386
